Model,Policy,PLM_ATE_coef,PLM_ATE_pval,IRM_ATET_coef,IRM_ATET_pval,GATET_Cluster_0_coef,GATET_Cluster_0_pval,GATET_Cluster_1_coef,GATET_Cluster_1_pval
OLS - Basic,cp_active,-0.13526710272300088,1.8837218450051508e-05,,,,,,
OLS - Basic,lez_active,-0.06862092198081736,0.049340337274295376,,,,,,
OLS - Basic,cp_x_lez,-8.412943309443058,0.0006540866368297094,,,,,,
L1 (Lasso / Logit L1),cp_active,-0.2712175649603594,2.482755898891e-07,,,,,,
L1 (Lasso / Logit L1),lez_active,-0.0843479844535093,0.027172372153943816,,,,,,
L1 (Lasso / Logit L1),cp_x_lez,-198.36261775917524,0.000597950971641256,,,,,,
L2 (Ridge / Logit L2),cp_active,-0.17099222728638852,0.0011109463604069046,,,,,,
L2 (Ridge / Logit L2),lez_active,-0.01220180360361928,0.7518711481929361,,,,,,
L2 (Ridge / Logit L2),cp_x_lez,-44.17150659730103,0.0005517441419798666,,,,,,
Elastic Net,cp_active,-0.2552314680666022,9.188228447276345e-06,,,,,,
Elastic Net,lez_active,-0.08440985244793973,0.033970316468444485,,,,,,
Elastic Net,cp_x_lez,-108.93565044011092,0.0006489184347636234,,,,,,
Random Forest,cp_active,-0.44131800465483567,8.97874605103866e-08,,,,,,
Random Forest,lez_active,-0.15829144913480922,0.044320446757428085,,,,,,
Random Forest,cp_x_lez,-0.9167482806423787,3.0300219659300912e-05,,,,,,
Boosted Trees,cp_active,-0.21033411748210337,5.981939803885175e-05,,,,,,
Boosted Trees,lez_active,-0.08255102771666491,0.0018460339265641754,,,,,,
Boosted Trees,cp_x_lez,-8953.260431123825,0.018124548155598986,,,,,,
Ensemble (Stacking),cp_active,-0.25875004741923663,3.124988489865825e-05,,,,,,
Ensemble (Stacking),lez_active,-0.1303673141665702,0.0008205764742313679,,,,,,
Ensemble (Stacking),cp_x_lez,-1560.4902227261384,0.5111095508748095,,,,,,
