Model,Policy,Global_ATE_coef,Global_ATE_pval,CATE_ATET_coef,CATE_ATET_pval,CATE_Cluster_0_coef,CATE_Cluster_0_pval,CATE_Cluster_1_coef,CATE_Cluster_1_pval
OLS - Basic,cp_active,-0.9505157966713728,2.5084469680075473e-08,-1.048615997477901,2.470962804032203e-07,-0.7732033147419741,8.547731612642531e-05,-1.230219993517748,7.735801245396917e-05
OLS - Basic,lez_active,-0.44040617251600156,0.0006672765623539172,-0.4015642742508227,0.0010368059962342477,-0.5394097458270269,0.0034305416698692413,-0.2842315216591724,0.08215480491805964
OLS - Basic,cp_x_lez,0.20229606286836366,0.4581407281308786,-0.0660266593368314,0.8473932535809764,0.5102936827242895,0.13295059219474434,-0.2835593374677447,0.5330369534566322
L1 (Lasso / Logit L1),cp_active,-0.2568760219666534,6.071522920051096e-62,-0.30059119191581396,7.949376436830863e-60,-0.1778624703334817,2.1819827217833856e-23,-0.38151711750067063,1.20298195860165e-41
L1 (Lasso / Logit L1),lez_active,-0.08502501779089286,4.934640978302441e-09,-0.09568986281455015,1.5498261317014903e-13,-0.05784154290143459,0.007591353805913515,-0.12790599226440458,7.876557112908858e-17
L1 (Lasso / Logit L1),cp_x_lez,-1.0336552231213698,1.160802271667328e-92,-1.1910983366710421,1.2994596574128418e-100,-0.8529321600968307,2.4379699826087106e-35,-1.318739491554445,7.793117522761975e-74
L2 (Ridge / Logit L2),cp_active,-0.3009606152163843,1.5622971264935454e-61,-0.34997170110453435,2.501178255551525e-60,-0.21237489154369144,3.203540556640981e-23,-0.44070147509443514,7.638657582729668e-42
L2 (Ridge / Logit L2),lez_active,-0.1172289075956986,1.3463379196626346e-10,-0.1292779093493613,2.933391176955237e-14,-0.08651737490233313,0.001015158821095881,-0.16567526902748642,6.811666671634635e-14
L2 (Ridge / Logit L2),cp_x_lez,-1.1043126623778465,3.7217974695571375e-139,-1.2532848414539708,1.064523780014743e-132,-0.9333130682953564,2.7507984146167148e-58,-1.3740585009305064,1.2192933988354096e-93
Elastic Net,cp_active,-0.2569661061570605,2.0613028528701653e-61,-0.3007683568144822,1.9203378778542357e-59,-0.17779515936686566,4.138254279306568e-23,-0.38185548700919886,1.9522579636724877e-41
Elastic Net,lez_active,-0.08512154470006726,5.248048596820444e-09,-0.09577967373911885,1.7418638198493858e-13,-0.057955188090197875,0.007640663733761241,-0.12797551569028376,9.651957871705737e-17
Elastic Net,cp_x_lez,-1.0332376583981726,3.166388817566734e-92,-1.190900780972459,5.329549380119994e-100,-0.8522620552407253,3.468585413458306e-35,-1.3187202999986525,2.2062392061824876e-73
Causal Forest,cp_active,-0.3530010111226242,3.3279459068420647e-20,-0.3658499756348584,7.167686717123566e-18,-0.3297769833514658,3.3989876259584447e-29,-0.38963609718417014,2.5096239865395847e-15
Causal Forest,lez_active,-0.07800364466282486,0.00363490939263457,-0.09990909133113049,0.0005723542411883661,-0.02216915685457362,0.27272613272025026,-0.16608058317724625,1.7978956361349942e-06
Causal Forest,cp_x_lez,-0.7281661161036921,1.202901116843954e-53,-1.03067524282927,1.1753885066932758e-70,-0.38092720077649567,7.529495275236447e-36,-1.2759232783099745,1.1579818938245058e-84
