Model,Policy,PLM_ATE_coef,PLM_ATE_pval,IRM_ATET_coef,IRM_ATET_pval,GATET_Cluster_0_coef,GATET_Cluster_0_pval,GATET_Cluster_1_coef,GATET_Cluster_1_pval
OLS - Basic,cp_active,-0.1876378585386846,2.2864776345464662e-08,-0.11661172834430472,0.002507931275042625,-0.12098752013482945,0.00012702517016596165,-0.1143076162698483,0.04307297139045532
OLS - Basic,lez_active,0.005877286414854632,0.7561295207976567,-0.021769673365767336,0.4849805901020128,0.02552756445098722,0.3110388660197898,-0.049741158096106054,0.2931827542784762
OLS - Basic,cp_x_lez,-0.7441251415049844,8.028409449575598e-41,-0.21578091812580638,0.00015751205495605748,-0.04347151737846434,0.35885287062482174,-0.2808192703686757,0.0002460659586010063
L1 (Lasso / Logit L1),cp_active,-0.18612612970721185,1.3489227304826116e-09,-0.21317963908760276,0.00011736404940992083,-0.12860040864130504,7.286902031030594e-05,-0.25771558491151936,0.0018434416929641304
L1 (Lasso / Logit L1),lez_active,0.008266841263585123,0.6558106712443684,-0.04740748040976458,0.1301231016098796,0.014669769936962843,0.5545700219370443,-0.08411983276535606,0.07739207680216119
L1 (Lasso / Logit L1),cp_x_lez,-0.7115356879705622,4.556692267377204e-37,-0.4193251786309291,3.3397271992818617e-06,-0.13894861205822298,0.06090219340695178,-0.5251535885627839,1.437301389108339e-05
L2 (Ridge / Logit L2),cp_active,-0.18324810462501592,2.0589250140842274e-07,-0.14930287938112535,0.00015946288223694886,-0.12125612488424083,0.00020891669906698913,-0.16407114733791445,0.004569188976694248
L2 (Ridge / Logit L2),lez_active,0.007212264482983732,0.7012495301165078,-0.03180366632072701,0.3062361516794876,0.022041295767090584,0.3813313109086227,-0.06364746110384494,0.1772606900747179
L2 (Ridge / Logit L2),cp_x_lez,-0.7480119084290464,1.8093075330067274e-36,-0.3720443578265055,1.1212593345551398e-05,-0.10466030789748286,0.16339194206168217,-0.47296872961344044,2.9284213996058913e-05
Elastic Net,cp_active,-0.18706509431881813,1.0981081994699078e-09,-0.1553716563124906,9.289351215686372e-05,-0.1254678484126951,0.00010998168640069554,-0.17111777225048916,0.003296999666352315
Elastic Net,lez_active,0.005318148081598029,0.7751018573967204,-0.05109236977509726,0.10456618514018287,0.014091422690363507,0.5697730361288749,-0.0896419244589719,0.06128674916348644
Elastic Net,cp_x_lez,-0.712393917401777,4.647447812258535e-37,-0.4271168452868743,1.0088396806113483e-06,-0.14778888167821147,0.04084163801410508,-0.5325494590019089,5.504200571457166e-06
Random Forest,cp_active,-0.18321955007815927,5.165160532088476e-11,-0.41165983172974446,2.542144821815709e-33,-0.29373250804083484,1.607304177602318e-35,-0.47375551256362763,1.0037747667033781e-20
Random Forest,lez_active,-0.06312885957677544,0.0023903820902146876,-0.22952434633901075,4.18551306236787e-14,-0.12621758942686906,9.431453817318177e-09,-0.2906197402117827,4.3448060161001795e-10
Random Forest,cp_x_lez,-0.4067394182214822,6.385812225969527e-12,-0.6020426473642727,1.279365099552644e-29,-0.3538643988703439,1.454452150073969e-14,-0.6957177705703145,1.6860636677616045e-22
Boosted Trees,cp_active,-0.06640254512922791,0.0015040763504181871,-0.05956129732153143,0.03995180943885751,-0.038128824716919196,0.15378119638555612,-0.07084675633735499,0.09135403154931737
Boosted Trees,lez_active,-0.04433890936532134,0.005957500280267338,-0.04524426357009922,0.17709345624194717,4.989242308471024e-05,0.9987082443341518,-0.0720311300176811,0.15078378728184255
Boosted Trees,cp_x_lez,-0.22415967818913476,1.5678967178066397e-05,-0.025380017401233718,0.5722558051057913,0.0282435815144277,0.5048774843010946,-0.04562029738410592,0.4455726959339107
